species,decimalLatitude,decimalLongitude,year,country,basisOfRecord
Panthera leo,-9.3873,34.5115,2011,TZA,HUMAN_OBSERVATION
Panthera leo,-4.0368,33.9077,1987,TZA,HUMAN_OBSERVATION
Panthera leo,-4.6972,32.9799,1996,TZA,HUMAN_OBSERVATION
Panthera leo,-9.8199,39.5809,1996,TZA,PRESERVED_SPECIMEN
Panthera leo,-8.3413,39.6609,2019,TZA,PRESERVED_SPECIMEN
Panthera leo,-3.8311,33.943,2012,TZA,HUMAN_OBSERVATION
Panthera leo,-1.974,34.0135,1991,TZA,HUMAN_OBSERVATION
Panthera leo,-7.9404,35.3714,2004,TZA,MACHINE_OBSERVATION
Panthera leo,-3.4148,36.9141,1987,TZA,HUMAN_OBSERVATION
Panthera leo,-4.7269,35.4251,1984,TZA,HUMAN_OBSERVATION
Panthera leo,-6.8419,29.4578,2008,TZA,HUMAN_OBSERVATION
Panthera leo,-7.7014,30.5898,2009,TZA,HUMAN_OBSERVATION
Panthera leo,-9.2941,39.1763,1984,TZA,HUMAN_OBSERVATION
Panthera leo,-7.5313,35.5001,1992,TZA,MACHINE_OBSERVATION
Panthera leo,-6.177,37.6101,1981,TZA,HUMAN_OBSERVATION
Panthera leo,-6.1334,34.3978,1999,TZA,HUMAN_OBSERVATION
Panthera leo,-6.2651,31.9367,2021,TZA,HUMAN_OBSERVATION
Panthera leo,-5.7933,33.828,1992,TZA,PRESERVED_SPECIMEN
Panthera leo,-2.0384,30.5427,1980,TZA,HUMAN_OBSERVATION
Panthera leo,-9.9142,36.3946,1985,TZA,PRESERVED_SPECIMEN
Panthera leo,-25.5491,29.067,1992,ZAF,HUMAN_OBSERVATION
Panthera leo,-23.0918,19.9136,1990,ZAF,HUMAN_OBSERVATION
Panthera leo,-30.178,30.1064,1981,ZAF,PRESERVED_SPECIMEN
Panthera leo,-30.8772,32.1993,2007,ZAF,HUMAN_OBSERVATION
Panthera leo,-31.6725,31.9127,1992,ZAF,HUMAN_OBSERVATION
Panthera leo,-34.4162,23.3967,2022,ZAF,MACHINE_OBSERVATION
Panthera leo,-25.2681,31.1435,2023,ZAF,MACHINE_OBSERVATION
Panthera leo,-28.2548,21.3708,1980,ZAF,PRESERVED_SPECIMEN
Panthera leo,-30.1424,17.6059,2013,ZAF,PRESERVED_SPECIMEN
Panthera leo,-31.588,31.9258,2021,ZAF,HUMAN_OBSERVATION
Panthera leo,-24.1955,18.6058,1990,ZAF,HUMAN_OBSERVATION
Panthera leo,-27.208,30.8676,1981,ZAF,HUMAN_OBSERVATION
Panthera leo,-24.8937,32.521,1988,ZAF,HUMAN_OBSERVATION
Panthera leo,-33.1293,16.2369,1987,ZAF,HUMAN_OBSERVATION
Panthera leo,-26.1904,18.0712,1990,ZAF,HUMAN_OBSERVATION
Panthera leo,11.3311,41.7167,1998,ETH,PRESERVED_SPECIMEN
Panthera leo,11.5849,44.0848,1988,ETH,HUMAN_OBSERVATION
Panthera leo,4.485,46.9134,1983,ETH,HUMAN_OBSERVATION
Panthera leo,8.863,42.943,1997,ETH,MACHINE_OBSERVATION
Panthera leo,6.4374,46.8721,2001,ETH,HUMAN_OBSERVATION
Panthera leo,10.6077,34.5885,1981,ETH,HUMAN_OBSERVATION
Panthera leo,8.0294,47.4935,1987,ETH,MACHINE_OBSERVATION
Panthera leo,12.6523,40.0107,2006,ETH,PRESERVED_SPECIMEN
Panthera leo,3.214,34.6372,1992,ETH,PRESERVED_SPECIMEN
Panthera leo,5.7917,40.9615,2016,ETH,PRESERVED_SPECIMEN
Panthera leo,13.4129,42.0466,1992,ETH,HUMAN_OBSERVATION
Panthera leo,8.1106,42.779,1998,ETH,MACHINE_OBSERVATION
Panthera leo,8.4468,36.7176,1991,ETH,PRESERVED_SPECIMEN
Panthera leo,12.7988,34.5792,1990,ETH,HUMAN_OBSERVATION
Panthera leo,10.1332,35.1926,1988,ETH,HUMAN_OBSERVATION
Panthera leo,-16.5613,32.0516,2016,ZMB,HUMAN_OBSERVATION
Panthera leo,-15.1528,22.8434,2000,ZMB,HUMAN_OBSERVATION
Panthera leo,-17.446,23.0957,1985,ZMB,HUMAN_OBSERVATION
Panthera leo,-12.0886,29.1686,2015,ZMB,HUMAN_OBSERVATION
Panthera leo,-12.9547,31.5001,1997,ZMB,MACHINE_OBSERVATION
Panthera leo,-17.5652,23.178,2019,ZMB,HUMAN_OBSERVATION
Panthera leo,-12.2877,25.9951,1990,ZMB,HUMAN_OBSERVATION
Panthera leo,-14.2639,27.285,2019,ZMB,PRESERVED_SPECIMEN
Panthera leo,-17.4804,32.0981,1984,ZMB,HUMAN_OBSERVATION
Panthera leo,-9.5643,31.8318,1990,ZMB,PRESERVED_SPECIMEN
Panthera leo,-13.5284,37.0673,2023,MOZ,PRESERVED_SPECIMEN
Panthera leo,-23.8472,35.8967,1994,MOZ,MACHINE_OBSERVATION
Panthera leo,-18.5952,34.236,2002,MOZ,PRESERVED_SPECIMEN
Panthera leo,-21.7366,31.5375,1999,MOZ,HUMAN_OBSERVATION
Panthera leo,-22.2789,34.0426,2001,MOZ,HUMAN_OBSERVATION
Panthera leo,-20.7601,34.1741,1988,MOZ,HUMAN_OBSERVATION
Panthera leo,-10.8183,40.0798,2010,MOZ,HUMAN_OBSERVATION
Panthera leo,-20.7462,35.8898,2022,MOZ,PRESERVED_SPECIMEN
Panthera leo,-13.1297,35.8599,2017,MOZ,PRESERVED_SPECIMEN
Panthera leo,-21.3895,38.0838,1981,MOZ,PRESERVED_SPECIMEN
Panthera leo,-5.9499,12.7173,1988,AGO,PRESERVED_SPECIMEN
Panthera leo,-16.6687,20.4343,2005,AGO,MACHINE_OBSERVATION
Panthera leo,-16.0763,23.4654,1983,AGO,PRESERVED_SPECIMEN
Panthera leo,-9.6885,21.1741,2023,AGO,MACHINE_OBSERVATION
Panthera leo,-14.4526,18.671,2014,AGO,HUMAN_OBSERVATION
Panthera leo,-9.3737,13.2268,1985,AGO,HUMAN_OBSERVATION
Panthera leo,-11.4762,17.7942,2004,AGO,PRESERVED_SPECIMEN
Panthera leo,-6.8106,17.398,1990,AGO,MACHINE_OBSERVATION
Panthera leo,-16.3237,12.5223,2006,AGO,HUMAN_OBSERVATION
Panthera leo,-8.7899,16.4419,2020,AGO,PRESERVED_SPECIMEN
Panthera leo,7.3364,13.7804,2014,NGA,PRESERVED_SPECIMEN
Panthera leo,6.7053,7.3703,2003,NGA,HUMAN_OBSERVATION
Panthera leo,5.4778,14.2335,1993,NGA,HUMAN_OBSERVATION
Panthera leo,7.8332,11.7562,1987,NGA,MACHINE_OBSERVATION
Panthera leo,11.803,8.7524,2004,NGA,HUMAN_OBSERVATION
Panthera leo,13.8663,11.6131,2017,NGA,HUMAN_OBSERVATION
Panthera leo,12.5053,10.6449,2021,NGA,HUMAN_OBSERVATION
Panthera leo,9.8826,11.2332,2003,NGA,HUMAN_OBSERVATION
Panthera leo,12.254,6.5443,1980,NGA,HUMAN_OBSERVATION
Panthera leo,8.4231,6.6231,2002,NGA,PRESERVED_SPECIMEN
Panthera leo,-21.2259,32.9763,2020,ZWE,MACHINE_OBSERVATION
Panthera leo,-20.0126,31.6952,1981,ZWE,MACHINE_OBSERVATION
Panthera leo,-17.3402,30.201,1984,ZWE,HUMAN_OBSERVATION
Panthera leo,-15.7208,25.232,1990,ZWE,HUMAN_OBSERVATION
Panthera leo,-16.5626,26.5856,1990,ZWE,MACHINE_OBSERVATION
Panthera leo,-17.4061,25.2893,1980,ZWE,HUMAN_OBSERVATION
Panthera leo,-17.7585,31.4119,1980,ZWE,HUMAN_OBSERVATION
Panthera leo,-16.0541,25.4579,2009,ZWE,MACHINE_OBSERVATION
Panthera leo,-16.5952,30.585,2015,ZWE,PRESERVED_SPECIMEN
Panthera leo,-21.7189,26.6143,1985,ZWE,HUMAN_OBSERVATION
Panthera leo,2.7259,32.7801,1985,UGA,MACHINE_OBSERVATION
Panthera leo,-0.2239,33.4077,1982,UGA,HUMAN_OBSERVATION
Panthera leo,2.5495,34.8812,1988,UGA,PRESERVED_SPECIMEN
Panthera leo,-0.7275,32.6979,1980,UGA,MACHINE_OBSERVATION
Panthera leo,2.5479,30.0388,1981,UGA,HUMAN_OBSERVATION
Panthera leo,-0.0823,34.8802,2006,UGA,PRESERVED_SPECIMEN
Panthera leo,2.182,32.4345,2000,UGA,HUMAN_OBSERVATION
Panthera leo,3.7301,30.8081,1998,UGA,PRESERVED_SPECIMEN
Panthera leo,2.2462,34.6436,2005,UGA,HUMAN_OBSERVATION
Panthera leo,1.5418,31.4242,2020,UGA,HUMAN_OBSERVATION
Panthera tigris,22.6933,90.2407,2000,CHN,HUMAN_OBSERVATION
Panthera tigris,32.9766,110.8812,1997,CHN,HUMAN_OBSERVATION
Panthera tigris,32.3074,86.493,2007,CHN,HUMAN_OBSERVATION
Panthera tigris,29.0964,75.2357,1993,CHN,HUMAN_OBSERVATION
Panthera tigris,25.8958,108.4924,1998,CHN,HUMAN_OBSERVATION
Panthera tigris,42.5701,113.1728,2005,CHN,HUMAN_OBSERVATION
Panthera tigris,45.5601,107.047,2008,CHN,HUMAN_OBSERVATION
Panthera tigris,39.9104,95.3608,2022,CHN,PRESERVED_SPECIMEN
Panthera tigris,49.0241,130.1055,2002,CHN,HUMAN_OBSERVATION
Panthera tigris,36.2096,122.592,1990,CHN,PRESERVED_SPECIMEN
Panthera tigris,35.295,80.1831,1993,CHN,HUMAN_OBSERVATION
Panthera tigris,47.4698,76.4452,1983,CHN,HUMAN_OBSERVATION
Panthera tigris,24.0548,92.4614,1992,CHN,PRESERVED_SPECIMEN
Panthera tigris,18.5139,124.2848,2011,CHN,HUMAN_OBSERVATION
Panthera tigris,23.3765,110.2521,2017,CHN,HUMAN_OBSERVATION
Panthera tigris,30.7722,132.4226,1983,CHN,PRESERVED_SPECIMEN
Panthera tigris,28.8837,115.6352,2023,CHN,PRESERVED_SPECIMEN
Panthera tigris,31.5745,112.7351,1994,CHN,HUMAN_OBSERVATION
Panthera tigris,36.3781,83.1526,1980,CHN,HUMAN_OBSERVATION
Panthera tigris,47.2707,134.3262,2022,CHN,PRESERVED_SPECIMEN
Panthera tigris,52.6613,81.7789,2004,CHN,HUMAN_OBSERVATION
Panthera tigris,31.74,77.9631,2016,CHN,HUMAN_OBSERVATION
Panthera tigris,34.4264,82.3417,2013,CHN,HUMAN_OBSERVATION
Panthera tigris,49.7486,75.7682,2007,CHN,HUMAN_OBSERVATION
Panthera tigris,35.1569,109.3596,1990,CHN,HUMAN_OBSERVATION
Panthera tigris,20.944,88.1074,2016,CHN,PRESERVED_SPECIMEN
Panthera tigris,40.7202,114.5526,2017,CHN,PRESERVED_SPECIMEN
Panthera tigris,20.0338,95.7297,2012,CHN,HUMAN_OBSERVATION
Panthera tigris,47.5568,102.9195,2003,CHN,PRESERVED_SPECIMEN
Panthera tigris,47.8205,104.2971,1998,CHN,HUMAN_OBSERVATION
Panthera tigris,31.8077,77.8771,2020,IND,HUMAN_OBSERVATION
Panthera tigris,22.8795,71.0444,1980,IND,MACHINE_OBSERVATION
Panthera tigris,25.6633,73.1477,1997,IND,HUMAN_OBSERVATION
Panthera tigris,13.3649,68.7199,2006,IND,HUMAN_OBSERVATION
Panthera tigris,16.611,85.3558,2020,IND,HUMAN_OBSERVATION
Panthera tigris,15.7846,88.388,2003,IND,MACHINE_OBSERVATION
Panthera tigris,25.37,81.8477,2007,IND,PRESERVED_SPECIMEN
Panthera tigris,33.2932,88.9002,1992,IND,PRESERVED_SPECIMEN
Panthera tigris,32.2704,71.309,2022,IND,PRESERVED_SPECIMEN
Panthera tigris,20.3225,84.04,2022,IND,MACHINE_OBSERVATION
Panthera tigris,35.5682,76.3586,2008,IND,PRESERVED_SPECIMEN
Panthera tigris,28.9995,78.0483,1980,IND,HUMAN_OBSERVATION
Panthera tigris,29.7656,82.2013,1985,IND,MACHINE_OBSERVATION
Panthera tigris,21.0193,96.3596,1990,IND,PRESERVED_SPECIMEN
Panthera tigris,10.3749,84.1084,1998,IND,PRESERVED_SPECIMEN
Panthera tigris,33.8916,91.8549,1990,IND,HUMAN_OBSERVATION
Panthera tigris,9.3636,71.1692,1981,IND,PRESERVED_SPECIMEN
Panthera tigris,27.9712,90.4379,1980,IND,PRESERVED_SPECIMEN
Panthera tigris,30.4244,69.4199,2018,IND,HUMAN_OBSERVATION
Panthera tigris,25.4131,92.8856,1999,IND,HUMAN_OBSERVATION
Panthera tigris,26.964,68.8586,1980,IND,HUMAN_OBSERVATION
Panthera tigris,33.0778,87.4768,1991,IND,MACHINE_OBSERVATION
Panthera tigris,17.7449,92.747,1990,IND,HUMAN_OBSERVATION
Panthera tigris,24.529,79.5113,1985,IND,MACHINE_OBSERVATION
Panthera tigris,13.2526,70.4595,1992,IND,HUMAN_OBSERVATION
Panthera tigris,28.0939,91.4155,2003,IND,HUMAN_OBSERVATION
Panthera tigris,19.4224,71.9678,2023,IND,HUMAN_OBSERVATION
Panthera tigris,35.9322,88.3255,2012,IND,HUMAN_OBSERVATION
Panthera tigris,33.6284,82.4106,2006,IND,HUMAN_OBSERVATION
Panthera tigris,18.2306,69.9478,1995,IND,HUMAN_OBSERVATION
Panthera tigris,-3.2942,124.1889,1988,IDN,HUMAN_OBSERVATION
Panthera tigris,-3.8535,139.1236,2022,IDN,HUMAN_OBSERVATION
Panthera tigris,-6.1628,136.2619,2013,IDN,HUMAN_OBSERVATION
Panthera tigris,-5.4692,136.817,1993,IDN,PRESERVED_SPECIMEN
Panthera tigris,-0.9573,125.0582,2003,IDN,HUMAN_OBSERVATION
Panthera tigris,-6.8967,109.8346,1987,IDN,MACHINE_OBSERVATION
Panthera tigris,-6.1848,120.8285,1986,IDN,PRESERVED_SPECIMEN
Panthera tigris,2.325,115.1658,2017,IDN,MACHINE_OBSERVATION
Panthera tigris,0.4682,132.4734,2000,IDN,MACHINE_OBSERVATION
Panthera tigris,2.389,103.5182,1987,IDN,HUMAN_OBSERVATION
Panthera tigris,0.0997,138.9461,2004,IDN,HUMAN_OBSERVATION
Panthera tigris,-3.6395,96.6488,2021,IDN,HUMAN_OBSERVATION
Panthera tigris,-10.3017,106.3191,2022,IDN,HUMAN_OBSERVATION
Panthera tigris,-3.263,118.74,2014,IDN,HUMAN_OBSERVATION
Panthera tigris,-9.1028,112.6872,1993,IDN,HUMAN_OBSERVATION
Panthera tigris,0.8692,104.5229,2022,IDN,HUMAN_OBSERVATION
Panthera tigris,-3.9176,95.0764,1993,IDN,HUMAN_OBSERVATION
Panthera tigris,3.667,95.0567,1984,IDN,HUMAN_OBSERVATION
Panthera tigris,-5.3374,114.841,2002,IDN,PRESERVED_SPECIMEN
Panthera tigris,3.3005,106.976,1990,IDN,HUMAN_OBSERVATION
Panthera tigris,3.8792,112.6652,1994,MYS,HUMAN_OBSERVATION
Panthera tigris,2.9844,117.6077,2001,MYS,HUMAN_OBSERVATION
Panthera tigris,5.2693,102.0091,1982,MYS,HUMAN_OBSERVATION
Panthera tigris,1.8292,117.3765,1983,MYS,HUMAN_OBSERVATION
Panthera tigris,1.1877,101.2126,1980,MYS,PRESERVED_SPECIMEN
Panthera tigris,2.4498,110.3842,1990,MYS,PRESERVED_SPECIMEN
Panthera tigris,1.0284,116.0674,2005,MYS,PRESERVED_SPECIMEN
Panthera tigris,1.9765,114.4587,2023,MYS,HUMAN_OBSERVATION
Panthera tigris,6.5128,108.0891,2017,MYS,PRESERVED_SPECIMEN
Panthera tigris,6.9079,106.2307,2012,MYS,HUMAN_OBSERVATION
Panthera tigris,5.7953,111.0147,2015,MYS,HUMAN_OBSERVATION
Panthera tigris,3.4842,105.3527,2016,MYS,HUMAN_OBSERVATION
Panthera tigris,3.0789,99.3807,1983,MYS,HUMAN_OBSERVATION
Panthera tigris,5.3511,113.1618,1993,MYS,HUMAN_OBSERVATION
Panthera tigris,6.3401,110.8766,2012,MYS,HUMAN_OBSERVATION
Panthera tigris,7.2995,102.5448,1982,THA,HUMAN_OBSERVATION
Panthera tigris,20.8684,97.0321,1987,THA,HUMAN_OBSERVATION
Panthera tigris,20.8894,101.6771,1997,THA,MACHINE_OBSERVATION
Panthera tigris,19.0861,101.2896,1985,THA,PRESERVED_SPECIMEN
Panthera tigris,9.371,97.4042,1999,THA,HUMAN_OBSERVATION
Panthera tigris,15.6179,103.69,2006,THA,HUMAN_OBSERVATION
Panthera tigris,14.5314,98.8502,2017,THA,HUMAN_OBSERVATION
Panthera tigris,14.7723,101.4283,2018,THA,HUMAN_OBSERVATION
Panthera tigris,15.8419,102.8062,2013,THA,PRESERVED_SPECIMEN
Panthera tigris,20.7347,100.3542,2004,THA,HUMAN_OBSERVATION
Panthera tigris,5.1995,103.3682,1995,THA,HUMAN_OBSERVATION
Panthera tigris,6.5052,104.1173,2002,THA,HUMAN_OBSERVATION
Panthera tigris,15.9213,98.195,1995,THA,HUMAN_OBSERVATION
Panthera tigris,8.1927,103.8719,2022,THA,MACHINE_OBSERVATION
Panthera tigris,8.3944,100.7584,2018,THA,MACHINE_OBSERVATION
Panthera tigris,13.6858,106.1362,2012,VNM,PRESERVED_SPECIMEN
Panthera tigris,18.967,108.2637,2021,VNM,HUMAN_OBSERVATION
Panthera tigris,21.5596,108.9246,2005,VNM,PRESERVED_SPECIMEN
Panthera tigris,9.4979,103.6352,1998,VNM,HUMAN_OBSERVATION
Panthera tigris,22.6884,105.0172,2012,VNM,PRESERVED_SPECIMEN
Panthera tigris,21.3136,105.157,2007,VNM,PRESERVED_SPECIMEN
Panthera tigris,16.7148,105.2731,1994,VNM,PRESERVED_SPECIMEN
Panthera tigris,22.0307,105.7411,1982,VNM,HUMAN_OBSERVATION
Panthera tigris,13.9116,103.0489,1988,VNM,HUMAN_OBSERVATION
Panthera tigris,18.2684,104.7158,1981,VNM,HUMAN_OBSERVATION
Panthera tigris,11.7806,98.7815,2022,MMR,MACHINE_OBSERVATION
Panthera tigris,15.006,93.8188,2022,MMR,HUMAN_OBSERVATION
Panthera tigris,18.4315,94.335,1988,MMR,HUMAN_OBSERVATION
Panthera tigris,18.6668,100.634,1990,MMR,HUMAN_OBSERVATION
Panthera tigris,11.9925,94.2719,2008,MMR,HUMAN_OBSERVATION
Panthera tigris,23.7665,99.8904,2013,MMR,MACHINE_OBSERVATION
Panthera tigris,27.6826,100.577,2019,MMR,HUMAN_OBSERVATION
Panthera tigris,12.4803,94.7402,1989,MMR,HUMAN_OBSERVATION
Panthera tigris,25.2243,97.5508,2004,MMR,HUMAN_OBSERVATION
Panthera tigris,12.9756,94.2793,1999,MMR,MACHINE_OBSERVATION
Panthera tigris,28.3369,85.881,1987,NPL,HUMAN_OBSERVATION
Panthera tigris,27.485,83.2388,1984,NPL,PRESERVED_SPECIMEN
Panthera tigris,26.8273,87.5323,2013,NPL,HUMAN_OBSERVATION
Panthera tigris,29.5845,80.8032,1996,NPL,PRESERVED_SPECIMEN
Panthera tigris,26.718,83.3085,1991,NPL,HUMAN_OBSERVATION
Panthera tigris,26.981,85.682,1985,NPL,MACHINE_OBSERVATION
Panthera tigris,27.3573,84.2468,2017,NPL,HUMAN_OBSERVATION
Panthera tigris,26.9792,81.29,1981,NPL,MACHINE_OBSERVATION
Panthera tigris,29.1094,84.1413,2021,NPL,HUMAN_OBSERVATION
Panthera tigris,28.119,84.2925,2016,NPL,HUMAN_OBSERVATION
Gorilla gorilla,-10.7381,29.9017,1999,COD,HUMAN_OBSERVATION
Gorilla gorilla,4.1577,11.7623,1996,COD,HUMAN_OBSERVATION
Gorilla gorilla,-8.4427,8.6913,2004,COD,HUMAN_OBSERVATION
Gorilla gorilla,3.5033,15.3953,2020,COD,HUMAN_OBSERVATION
Gorilla gorilla,-5.7919,20.2334,2006,COD,HUMAN_OBSERVATION
Gorilla gorilla,4.7949,26.8211,2015,COD,HUMAN_OBSERVATION
Gorilla gorilla,-10.2482,29.1753,2012,COD,HUMAN_OBSERVATION
Gorilla gorilla,-12.0981,15.8753,1982,COD,PRESERVED_SPECIMEN
Gorilla gorilla,0.5151,26.2536,2014,COD,HUMAN_OBSERVATION
Gorilla gorilla,3.6281,18.0738,1992,COD,HUMAN_OBSERVATION
Gorilla gorilla,4.8806,14.4606,2008,COD,HUMAN_OBSERVATION
Gorilla gorilla,-4.7513,10.9677,1999,COD,PRESERVED_SPECIMEN
Gorilla gorilla,-5.9273,29.2026,1986,COD,HUMAN_OBSERVATION
Gorilla gorilla,0.0712,18.6053,1993,COD,HUMAN_OBSERVATION
Gorilla gorilla,-4.4899,29.8514,2009,COD,HUMAN_OBSERVATION
Gorilla gorilla,-9.8098,23.5962,2023,COD,HUMAN_OBSERVATION
Gorilla gorilla,-4.9066,28.5272,2017,COD,PRESERVED_SPECIMEN
Gorilla gorilla,4.8525,20.2225,2013,COD,HUMAN_OBSERVATION
Gorilla gorilla,4.0556,16.4257,2009,COD,PRESERVED_SPECIMEN
Gorilla gorilla,-5.7435,20.9218,1986,COD,HUMAN_OBSERVATION
Gorilla gorilla,3.3276,17.6439,2011,COD,PRESERVED_SPECIMEN
Gorilla gorilla,-6.8375,17.3876,2000,COD,HUMAN_OBSERVATION
Gorilla gorilla,-11.349,23.3523,1999,COD,PRESERVED_SPECIMEN
Gorilla gorilla,-1.0676,8.4546,2019,COD,HUMAN_OBSERVATION
Gorilla gorilla,1.0067,27.7945,1994,COD,HUMAN_OBSERVATION
Gorilla gorilla,-0.9787,10.9753,2018,COD,HUMAN_OBSERVATION
Gorilla gorilla,-7.8966,23.5189,1992,COD,MACHINE_OBSERVATION
Gorilla gorilla,-9.3546,20.4678,2004,COD,MACHINE_OBSERVATION
Gorilla gorilla,-2.0189,13.8675,2010,COD,PRESERVED_SPECIMEN
Gorilla gorilla,-7.2312,30.451,2002,COD,PRESERVED_SPECIMEN
Gorilla gorilla,-12.5819,17.2014,1997,COD,MACHINE_OBSERVATION
Gorilla gorilla,-2.0159,18.2107,1987,COD,MACHINE_OBSERVATION
Gorilla gorilla,-7.2001,20.5246,2021,COD,HUMAN_OBSERVATION
Gorilla gorilla,-1.6204,15.6846,2015,COD,MACHINE_OBSERVATION
Gorilla gorilla,3.6297,27.3964,1990,COD,MACHINE_OBSERVATION
Gorilla gorilla,0.4098,25.5873,1990,COD,HUMAN_OBSERVATION
Gorilla gorilla,-4.7839,13.5252,2013,COD,PRESERVED_SPECIMEN
Gorilla gorilla,-7.7922,13.9296,2000,COD,HUMAN_OBSERVATION
Gorilla gorilla,-9.0606,26.7693,2005,COD,MACHINE_OBSERVATION
Gorilla gorilla,-9.9814,8.1727,1981,COD,PRESERVED_SPECIMEN
Gorilla gorilla,11.0701,9.1066,1994,CMR,PRESERVED_SPECIMEN
Gorilla gorilla,2.3885,11.1205,1999,CMR,HUMAN_OBSERVATION
Gorilla gorilla,2.8476,11.3824,2023,CMR,PRESERVED_SPECIMEN
Gorilla gorilla,12.1948,15.8466,2007,CMR,HUMAN_OBSERVATION
Gorilla gorilla,10.4889,10.1651,1983,CMR,MACHINE_OBSERVATION
Gorilla gorilla,8.9614,8.8948,2011,CMR,HUMAN_OBSERVATION
Gorilla gorilla,6.0819,12.4175,2016,CMR,HUMAN_OBSERVATION
Gorilla gorilla,9.234,13.2215,1980,CMR,MACHINE_OBSERVATION
Gorilla gorilla,7.1975,8.7616,2023,CMR,PRESERVED_SPECIMEN
Gorilla gorilla,12.72,10.5466,1993,CMR,HUMAN_OBSERVATION
Gorilla gorilla,1.617,13.3781,2000,CMR,HUMAN_OBSERVATION
Gorilla gorilla,10.4496,14.657,2019,CMR,HUMAN_OBSERVATION
Gorilla gorilla,4.8585,13.9906,2016,CMR,PRESERVED_SPECIMEN
Gorilla gorilla,6.8951,15.1442,1991,CMR,MACHINE_OBSERVATION
Gorilla gorilla,2.1531,9.2282,1986,CMR,HUMAN_OBSERVATION
Gorilla gorilla,1.8102,8.4225,1989,CMR,HUMAN_OBSERVATION
Gorilla gorilla,10.2955,8.2787,1980,CMR,PRESERVED_SPECIMEN
Gorilla gorilla,10.8775,9.344,1981,CMR,MACHINE_OBSERVATION
Gorilla gorilla,10.8775,12.3115,1986,CMR,PRESERVED_SPECIMEN
Gorilla gorilla,2.1131,11.1559,2004,CMR,HUMAN_OBSERVATION
Gorilla gorilla,10.0279,12.0334,2012,CMR,PRESERVED_SPECIMEN
Gorilla gorilla,6.5762,10.9432,1998,CMR,HUMAN_OBSERVATION
Gorilla gorilla,10.0179,8.9513,1989,CMR,HUMAN_OBSERVATION
Gorilla gorilla,3.1155,9.4028,1981,CMR,HUMAN_OBSERVATION
Gorilla gorilla,12.8847,9.0977,2016,CMR,PRESERVED_SPECIMEN
Gorilla gorilla,6.3848,11.1433,1988,CMR,MACHINE_OBSERVATION
Gorilla gorilla,11.4743,9.5384,2018,CMR,HUMAN_OBSERVATION
Gorilla gorilla,8.8729,10.3127,1991,CMR,HUMAN_OBSERVATION
Gorilla gorilla,7.6109,14.6284,2012,CMR,PRESERVED_SPECIMEN
Gorilla gorilla,1.3189,8.3957,2020,CMR,HUMAN_OBSERVATION
Gorilla gorilla,-2.4389,10.5119,2006,GAB,PRESERVED_SPECIMEN
Gorilla gorilla,0.9597,11.3673,1986,GAB,HUMAN_OBSERVATION
Gorilla gorilla,-0.8685,9.8885,1996,GAB,HUMAN_OBSERVATION
Gorilla gorilla,0.0599,8.3965,1995,GAB,HUMAN_OBSERVATION
Gorilla gorilla,1.3671,11.8777,1980,GAB,HUMAN_OBSERVATION
Gorilla gorilla,1.3416,10.8197,2016,GAB,MACHINE_OBSERVATION
Gorilla gorilla,-3.6431,9.2911,2000,GAB,HUMAN_OBSERVATION
Gorilla gorilla,-2.8271,12.0772,1981,GAB,HUMAN_OBSERVATION
